X,Y,X,Y,Date of ta,Locality (,G. illyric,G. palustr,xcoord,ycoord,icon_url
13.6155585581185,46.0054580699187,"96627","393150",9.10.2012,Sabotin,,x,13.615541527122954,46.005470066262085,./0.png
13.6168573000637,46.0046369783765,"96534","393249",13.05.2013,Sabotin,,x,13.616840270990807,46.004648975958901,./0.png
13.6168031472179,46.0021439274871,"96257","393240",9.10.2012,Sabotin,,"1",13.616786123223280,46.002155924867409,./0.png
13.6154820049934,46.0054211524381,"96623","393144",1.07.2013,Sabotin,,"1",13.615464974058709,46.005433148703375,./0.png
13.6203637922167,46.0027807683481,"96323","393517",9.10.2012,Sabotin,,x,13.620346767599816,46.002792769297812,./0.png
13.6149006849042,46.0054321130584,"96625","393099",9.10.2012,Sabotin,,r,13.614883653836651,46.005444108748016,./0.png
13.8602741668207,45.9207785237261,"86916","411968",16.06.2011,Mala goraďż˝aven,,,13.860257357550788,45.920790760505071,./0.png
14.0176976549461,46.1286367925815,"109855","424463",9.07.2015,ďż˝kofje,,"1",14.017680438385055,46.128649197263741,./0.png
13.9514237225206,46.1561575548187,"112979","419382",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,r,13.951406438022456,46.156169892798779,./0.png
13.9520890349307,46.1558937183657,"112949","419433",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,x,13.952071751086271,46.155906057013596,./0.png
13.9507279580707,46.1552964147611,"112884","419327",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,"1",13.950710675264968,46.155308752025675,./0.png
13.9167786996574,46.1084447739989,"107712","416634",28.06.2010,ďż˝ebrelje-Sv. Ivan,,"1",13.916761509291273,46.108457076044303,./0.png
13.9168604497264,46.1102180792545,"107909","416643",28.06.2010,ďż˝ebrelje-Sv. Ivan,,"2",13.916843255674692,46.110230381426760,./0.png
13.9242611804047,46.1301455651039,"110116","417245",12.06.2018,Rodne,,"2",13.924243945972673,46.130157875201448,./0.png
13.9522383941133,46.1575776263713,"113136","419447",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,r,13.952221106772599,46.157589965194987,./0.png
13.9526797331196,46.1568348671181,"113053","419480",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,x,13.952662447399026,46.156847206376469,./0.png
13.924864396111,46.1457260402081,"111847","417315",13.06.2017,Bukovo-Kojca -Ravna njiva,,"1",13.924847129272010,46.145738351219883,./0.png
13.9250573102526,46.145790834302,"111854","417330",13.06.2017,Bukovo-Kojca -Ravna njiva,,x,13.925040043308670,46.145803145509397,./0.png
13.9247196328771,46.1298619482279,"110084","417280",12.06.2018,Rodne,,r,13.924702399109730,46.129874258782053,./0.png
13.9254300913838,46.1245960266355,"109498","417327",12.06.2018,Rodne,,"1",13.925412868717180,46.124608337793603,./0.png
13.9253419731294,46.1244692332663,"109484","417320",12.06.2018,Rodne,,"1",13.925324750713253,46.124481544332632,./0.png
13.9169178153749,46.1099306979713,"107877","416647",26.06.2020,ďż˝ebrelje-Sv. Ivan,,x,13.916900621931983,46.109943000194342,./0.png
13.8863150778518,46.0742853425585,"103948","414226",2.07.2019,Utrďż˝ki vrh-Rob,,"1",13.886297953615276,46.074297612870780,./0.png
13.8862716036252,46.0745188593504,"103974","414223",2.07.2019,Utrďż˝ki vrh-Rob,,x,13.886254478895108,46.074531129626529,./0.png
13.8876892802687,46.0747395881426,"103997","414333",2.07.2019,Utrďż˝ki vrh-Rob,,x,13.887672155319018,46.074751859856278,./0.png
13.8842246392882,46.0747328681436,"104000","414065",17.06.2019,Utrďż˝ki vrh-Rob,,"1",13.884207513766004,46.074745136361678,./0.png
13.8849016615924,46.0744965268659,"103973","414117",17.06.2019,Utrďż˝ki vrh-Rob,,"1",13.884884536676870,46.074508795759193,./0.png
13.9175803432994,46.1137609514616,"108302","416704",28.06.2010,Reka-Na logu,,"2",13.917563141974734,46.113773254447402,./0.png
13.9175114483506,46.113976242962,"108326","416699",26.06.2020,Reka-Na logu,,"1",13.917494246565713,46.113988545883451,./0.png
13.9176753846477,46.114193735475,"108350","416712",26.06.2020,Reka-Na logu,,x,13.917658182435755,46.114206038567133,./0.png
13.9131658378684,46.0802748952788,"104585","416312",24.06.2010,ďż˝ebrelje-Lovski dom,,r,13.913148705669705,46.080287192894261,./0.png
13.8878578562609,46.0747142327684,"103994","414346",17.06.2019,Utrďż˝ki vrh-Rob,,x,13.887840731392522,46.074726504651387,./0.png
13.9132827111882,46.0802490116205,"104582","416321",26.06.2020,ďż˝ebrelje-Lovski dom,,r,13.913265579063038,46.080261309353311,./0.png
13.9136067712013,46.080207098591,"104577","416346",26.06.2020,ďż˝ebrelje-Lovski dom,,x,13.913589639217799,46.080219396650037,./0.png
14.485144752665,46.1106628018508,"107518","460572",16.06.2013,Kleďż˝e-Roje,"2",,14.485127644285374,46.110675690259043,./0.png
14.4851450030344,46.1106358102538,"107515","460572",31.05.2020,Kleďż˝e-Roje,"3",,14.485127894713560,46.110648698662501,./0.png
13.9508357833869,46.1550724639231,"112859","419335",8.07.2020,Jesenica-Vrh ravni-Na Krogu,,r,13.950818501065845,46.155084801293192,./0.png
13.919323622651,46.2615974117674,"124731","417062",2.07.2007,Bohinj-ďż˝lan,,"1",13.919306113593212,46.261609718179933,./0.png
13.9201776856424,46.2617044386322,"124742","417128",2.07.2007,Bohinj-ďż˝lan,,"1",13.920160176479593,46.261716745899861,./0.png
13.9272800557915,46.2626979123959,"124845","417677",2.07.2007,Bohinj-ďż˝lan,,"1",13.927262545538062,46.262710226776541,./0.png
13.9274453387892,46.2628704107226,"124864","417690",2.07.2007,Bohinj-ďż˝lan,,"2",13.927427828199322,46.262882725268469,./0.png
13.920673356077,46.2615651526346,"124726","417166",2.07.2007,Bohinj-ďż˝lan,,x,13.920655847272373,46.261577460398875,./0.png
13.8261848588999,46.0865602832555,"105379","409595",2.07.2020,Kozjek-Dolc,,"1",13.826167698981537,46.086572493470406,./0.png
13.8259669843816,46.0864680723649,"105369","409578",2.07.2020,Kozjek-Dolc,,x,13.825949824617394,46.086480282358053,./0.png
13.8255822207664,46.0857083215096,"105285","409547",2.07.2020,Kozjek-Dolc,,"1",13.825565062511105,46.085720531090764,./0.png
13.8258550134187,46.0862599775968,"105346","409569",2.07.2020,Kozjek-Dolc,,x,13.825837854066654,46.086272187470456,./0.png
13.8273204363151,46.0872827371361,"105458","409684",2.07.2020,Kozjek-Dolc,,x,13.827303275092135,46.087294948515051,./0.png
13.8259158725154,46.0858287136211,"105298","409573",26.06.2000,Kozjek-Dolc,,"1",13.825898714067259,46.085840923541255,./0.png
13.8269455306298,46.0866670546786,"105390","409654",26.06.2000,Kozjek-Dolc,,"1",13.826928370619129,46.086679265660472,./0.png
13.8268641530454,46.0868461741565,"105410","409648",19.06.2020,Kozjek-Dolc,,"1",13.826846992649802,46.086858385062811,./0.png
13.8265441831715,46.0866899344111,"105393","409623",19.06.2020,Kozjek-Dolc,,"1",13.826527023045422,46.086702144990966,./0.png
13.8270808883679,46.0869923576669,"105426","409665",2.07.2020,Kozjek-Dolc,,x,13.827063727706035,46.087004568795649,./0.png
13.8263479733752,46.0867958950365,"105405","409608",27.05.2020,Kozjek-Dolc,,r,13.826330812996297,46.086808105423025,./0.png
13.8262635712895,46.0865071042959,"105373","409601",2.07.2020,Kozjek-Dolc,,"2",13.826246411494630,46.086519314587989,./0.png
13.8265854657075,46.0859615463412,"105312","409625",2.07.2020,Kozjek-Dolc,,r,13.826568307097652,46.085973756937854,./0.png
13.8246335747579,46.0877590517713,"105514","409477",2.07.2020,Kozjek-Preseďż˝ar,,x,13.824616412093173,46.087771260469978,./0.png
13.4148373163223,46.2786491712251,"127279","378210",9.07.2014,Muzec-Prekopa,,x,13.414819699169515,46.278660982755177,./0.png
13.4148746915499,46.2791535458774,"127335","378214",19.07.2014,Muzec-Prekopa,,x,13.414857073394872,46.279165357454666,./0.png
13.4145369352925,46.2796167346944,"127387","378189",2.08.2014,Muzec-Boban,,r,13.414519316160341,46.279628545957323,./0.png
13.4146023242595,46.2800495178648,"127435","378195",19.07.2014,Muzec-Prekopa,,x,13.414584704272428,46.280061329200187,./0.png
13.4152013790964,46.2808765819413,"127526","378243",19.07.2014,Muzec-Prekopa,,r,13.415183757547929,46.280888393870597,./0.png
13.4151717904498,46.2805522642481,"127490","378240",19.07.2014,Muzec-Prekopa,,x,13.415154169544897,46.280564076141829,./0.png
13.4147642759971,46.2820851833401,"127661","378212",19.07.2014,Muzec-Prekopa,,x,13.414746651966803,46.282096994875786,./0.png
13.4149476800169,46.2815748692668,"127604","378225",2.08.2014,Muzec-Planjca,,"1",13.414930057034290,46.281586680967536,./0.png
13.4151049137195,46.2819729341705,"127648","378238",2.08.2014,Muzec-Planjca,,x,13.415087289965438,46.281984746031064,./0.png
13.4358595352814,46.279082357636,"127295","379831",10.07.2015,Puntraďż˝iďż˝-Na Kuclju-Kurnja,,x,13.435841920465519,46.279094189398457,./0.png
13.4362472698029,46.2782239013143,"127199","379859",18.06.2015,Puntraďż˝iďż˝-Na Kuclju-Kurnja,,r,13.436229656764530,46.278235733431885,./0.png
13.4392564107136,46.2741531422213,"126742","380082",18.06.2015,Puntarďż˝iďż˝-Sv. Marjeta,,x,13.439238806284408,46.274164977149184,./0.png
13.4365153890288,46.2797481319991,"127368","379883",18.06.2015,Puntraďż˝iďż˝-NaKuclju-Police,,x,13.436497772979767,46.279759964407091,./0.png
13.4429656278468,46.2746715302151,"126794","380369",28.06.2016,Njivca-Cerkveni dol,,r,13.442948022945131,46.274683368727878,./0.png
13.4384326380585,46.2771200607291,"127073","380025",10.07.2015,Puntraďż˝iďż˝-Na Kuclju-Kurnja,,"1",13.438415027562638,46.277131894927557,./0.png
13.4386328154886,46.2769248479286,"127051","380040",10.07.2015,Puntraďż˝iďż˝-Na Kuclju-Kurnja,,"1",13.438615205414115,46.276936682315757,./0.png
13.4376449372788,46.2774422163156,"127110","379965",10.07.2015,Puntraďż˝iďż˝-Na Kuclju-Kurnja,,r,13.437627326018063,46.277454049762433,./0.png
13.4416749079734,46.2758056370657,"126922","380272",10.07.2015,Puntarďż˝iďż˝-Sv. Marjeta,,x,13.441657300603445,46.275817474359179,./0.png
13.4424200628514,46.2765265783517,"127001","380331",10.07.2015,Breginjski Stol-Njivca,,x,13.442402454150894,46.276538416378550,./0.png
13.4423475843646,46.2763366456402,"126980","380325",18.07.2017,Puntarďż˝iďż˝-Sv. Marjeta,,"1",13.442329976033527,46.276348483593161,./0.png
13.4426733795824,46.2762870943973,"126974","380350",10.07.2015,Breginjski Stol-Njivca,,"1",13.442655771400178,46.276298932663131,./0.png
13.4430327285601,46.2773446843197,"127091","380380",18.07.2016,Breginjski Stol-Njivca,,x,13.443015118314126,46.277356522954065,./0.png
13.4430683333834,46.277462135425,"127104","380383",18.07.2017,Breginjski Stol-Njivca,,x,13.443050722907566,46.277473974096232,./0.png
13.415641006627,46.2786782945447,"127281","378272",2.08.2014,Muzec-Boban,,r,13.415623389538807,46.278690106847897,./0.png
13.8256449550084,46.085798941778,"105295","409552",2.07.2020,Kozjek-Dolc,,r,13.825627796575995,46.085811151425190,./0.png
13.7154637517749,46.3400813936199,"133688","401488",21.06.2007,Vas na Skali-Krbulnik,,x,13.715446053270593,46.340093497696202,./0.png
13.8986828487456,46.0399977550264,"100124","415130",25.06.2015,Vojsko-Ogalce,"1",,13.898665798080909,46.040010036621233,./0.png
13.8117783640038,46.2811270683746,"127020","408804",11.06.2010,Ukanc-Blato,,"1",13.811760799624537,46.281139267585822,./0.png
14.2781062503503,45.5426793778266,"44519","443999",12.05.2011,Gornji Zemon-Mlaka,"1",,14.278090335037046,45.542692018810961,./0.png
14.1214911496898,45.5501874265926,"45475","431778",14.06.2016,Hruďż˝ica-Malke,"2",,14.121475180157187,45.550199902022392,./0.png
13.926832598726,46.2643582372362,"125030","417645",2.07.2007,Bohinj-ďż˝lan,,x,13.926815084954178,46.264370551164745,./0.png
14.1227967689481,46.3833958246736,"138075","432897",7.05.2019,Zasip-Brje,,x,14.122779030007470,46.383408333659773,./0.png
14.1228873329888,46.3834235093499,"138078","432904",7.05.2019,Zasip-Brje,,"1",14.122869593999814,46.383436018426721,./0.png
14.1252239648088,46.3828295599312,"138010","433083",7.05.2019,Zasip-Brje,,"2",14.125206227332271,46.382842071389959,./0.png
13.9673394544592,45.819397397808,"75536","420127",13.06.2011,Vipava-Mlake,,"2",13.967322879002380,45.819409737255114,./0.png
14.0914873916866,46.3828010064096,"138036","430488",3.07.2019,Podhom-barje,,"1",14.091469650505834,46.382813483806999,./0.png
